,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Sector,Industry
0,2011-04-18,24.25142164925682,24.25142164925682,23.83812462687139,24.0412712097168,537400,0.0,0,AFG,Finance,Property-Casualty Insurers
1,2011-04-19,24.06228627648714,24.174366692896037,23.87315274496605,23.99924087524414,249200,0.0,0,AFG,Finance,Property-Casualty Insurers
2,2011-04-20,24.244416174764485,24.30045504120544,24.167360395226485,24.19538116455078,171200,0.0,0,AFG,Finance,Property-Casualty Insurers
3,2011-04-21,24.27244850311244,24.39153282113957,24.2094030782131,24.328487396240234,217500,0.0,0,AFG,Finance,Property-Casualty Insurers
4,2011-04-25,24.34249380277044,24.36350805022727,24.181378337114964,24.237417221069336,273500,0.0,0,AFG,Finance,Property-Casualty Insurers
5,2011-04-26,24.27944386565987,24.447565830623866,24.27944386565987,24.412538528442386,266100,0.0,0,AFG,Finance,Property-Casualty Insurers
6,2011-04-27,24.42653886918711,24.65069961547852,24.39852078005585,24.65069961547852,394900,0.0,0,AFG,Finance,Property-Casualty Insurers
7,2011-04-28,24.622684162630172,25.07800955819452,24.6016672532729,25.06399917602539,422000,0.0,0,AFG,Finance,Property-Casualty Insurers
8,2011-04-29,25.049994585083642,25.14106075413267,24.965934944842573,25.0570011138916,237000,0.0,0,AFG,Finance,Property-Casualty Insurers
9,2011-05-02,25.10603782580675,25.127052069237237,24.88888084559579,24.89588737487793,193000,0.0,0,AFG,Finance,Property-Casualty Insurers
10,2011-05-03,24.86786658900407,25.064006653472763,24.839845816306262,24.860862731933594,402200,0.0,0,AFG,Finance,Property-Casualty Insurers
11,2011-05-04,25.03597840336082,25.09201725383023,24.538619242332807,24.65069961547852,310100,0.0,0,AFG,Finance,Property-Casualty Insurers
12,2011-05-05,24.482595357462074,24.622696577586296,24.335490278825468,24.4195499420166,339500,0.0,0,AFG,Finance,Property-Casualty Insurers
13,2011-05-06,24.62969275807611,24.78380431939111,24.300455394251408,24.45456695556641,323800,0.0,0,AFG,Finance,Property-Casualty Insurers
14,2011-05-09,24.398526476515368,24.629691131009174,24.28644340499413,24.57365226745605,260000,0.0,0,AFG,Finance,Property-Casualty Insurers
15,2011-05-10,24.66471881758759,24.81182385891527,24.636698046227693,24.75578498840332,275200,0.0,0,AFG,Finance,Property-Casualty Insurers
